,0
2019-01-03,-0.01786415656666667
2019-01-04,0.024920461500000008
2019-01-07,0.004090601000000002
2019-01-08,0.009968293100000001
2019-01-09,0.0022174433000000013
2019-01-10,0.0024240347000000014
2019-01-11,0.0037352074999999984
2019-01-14,-0.003629876200000001
2019-01-15,0.0107181043
2019-01-16,0.0049073248
2019-01-17,0.005960409184788109
2019-01-18,0.013644345943013678
2019-01-22,-0.01038505219111498
2019-01-23,-0.0008100432703964938
2019-01-24,0.0035839770396626693
2019-01-25,0.005922374025983023
2019-01-28,-0.009132355236124871
2019-01-29,0.0016351680970998826
2019-01-30,0.010367893088612672
2019-01-31,0.004508133655194436
2019-02-01,0.0011152744000000093
2019-02-11,0.005103690800000007
2019-02-12,0.009412187099999999
2019-02-13,0.005133793000000011
2019-02-14,-0.001402107247092715
2019-02-15,0.0103489093597147
2019-02-19,-0.0003659143972071359
2019-02-20,0.0023768471753290795
2019-02-21,-0.002622362614631425
2019-02-22,0.0055220368107957345
2019-02-25,0.0017317720074111439
2019-02-26,-0.0008659198422175924
2019-02-27,-0.001417927700541969
2019-02-28,-0.003417580990452477
2019-03-01,0.004908495700000013
2019-03-04,0.003190219200000008
2019-03-05,-0.00010529909999999385
2019-03-06,-0.005038037999999989
2019-03-07,-0.00014398939999999902
2019-03-08,-0.00542415460000003
2019-03-11,0.012103898500000014
2019-03-12,-0.00022298779999999232
2019-03-13,0.002671780199999992
2019-03-14,0.0011245530999999978
2019-03-15,0.004103556300000005
2019-03-18,0.0033269604000000044
2019-03-19,0.0005200705999999994
2019-03-20,-0.004524299800000004
2019-03-21,0.0066878595000000145
2019-03-22,-0.008050168100000024
2019-03-25,-0.0074210419
2019-03-26,0.01156459190000001
2019-03-27,-0.0004999167000000061
2019-03-28,0.0021050437999999955
2019-03-29,0.006929972300000014
2019-04-01,0.011942777100000012
2019-04-02,0.002718789000000001
2019-04-03,0.0020152018000000054
2019-04-04,0.0008654616000000041
2019-04-08,-0.0020524571000000006
2019-04-09,-0.0050625928000000014
2019-04-10,0.0041057464000000005
2019-04-11,-0.002034368400000002
2019-04-12,0.001753657900000001
2019-04-15,0.001693764999999999
2019-04-16,0.0016422026000000027
2019-04-17,-0.0012873595999999998
2019-04-18,0.0047303482999999985
2019-04-23,0.009775127699999999
2019-04-24,-0.0019177616999999996
2019-04-25,0.0040189820999999995
2019-04-26,0.0022207072
2019-04-29,0.0006245176999999997
2019-04-30,-0.0013198958999999998
2019-05-06,-0.005420506500000003
2019-05-07,-0.0133774318
2019-05-08,-0.0030332693000000004
2019-05-09,-0.008099896000000004
2019-05-10,0.002326133800000007
2019-05-13,-0.018051113400000002
2019-05-14,0.0087087865
2019-05-15,0.005935897900000005
2019-05-16,0.010415641500000001
2019-05-17,-0.002353898500000006
2019-05-20,-0.005686955100000001
2019-05-21,0.004561666900000003
2019-05-22,-0.00013846980000000112
2019-05-23,-0.0106106551
2019-05-24,-0.0008645874
2019-05-28,-0.0037880601
2019-05-29,-0.0066345879
2019-05-30,0.0024396215
2019-05-31,-0.010908232
2019-06-03,-0.0054324856
2019-06-04,0.0127240619
2019-06-05,0.006708672200000001
2019-06-06,0.002244747799999991
2019-06-10,0.005945425100000006
2019-06-11,0.0022499847000000193
2019-06-12,-0.0028834383000000043
2019-06-13,0.0053022702000000005
2019-06-14,0.0016350343999999926
2019-06-17,-0.00034433589999999855
2019-06-18,0.012836513300000001
2019-06-19,0.0025083613000000072
2019-06-20,0.003400002500000003
2019-06-21,-0.005146335400000001
2019-06-24,-0.005720590800000001
2019-06-25,-0.005745463000000003
2019-06-26,-0.0020704116000000005
2019-06-27,0.004814062900000002
2019-06-28,0.0037626278000000017
2019-07-01,0.012117373400000003
2019-07-02,0.005597148500000001
2019-07-03,0.007970030800000001
2019-07-05,0.0007552345999999996
2019-07-08,-0.004230594800000002
2019-07-09,0.0003062739000000006
2019-07-10,-0.0005809963999999987
2019-07-11,0.0019520904000000006
2019-07-12,0.0032888542000000013
2019-07-15,-1.1682399999999956e-05
2019-07-16,0.000550486999999999
2019-07-17,-0.004568531900000002
2019-07-18,0.0005257191000000012
2019-07-19,-0.001454701600000002
2019-07-22,0.0012251101000000009
2019-07-23,0.011701996300000002
2019-07-24,0.004454720500000002
2019-07-25,-0.006079092700000002
2019-07-26,0.005953232000000003
2019-07-29,-0.0018913131000000006
2019-07-30,-0.004699014800000001
2019-07-31,-0.006566100300000004
2019-08-01,0.0009269435999999976
2019-08-02,-0.0144890907
2019-08-05,-0.031228232300000006
2019-08-06,0.005120123600000003
2019-08-07,2.4390900000000285e-05
2019-08-08,0.017118071900000004
2019-08-09,-0.004948097000000001
2019-08-12,-0.009506913900000002
2019-08-13,0.010183026800000002
2019-08-14,-0.018065830800000005
2019-08-15,0.0021579555000000006
2019-08-16,0.012523750700000004
2019-08-19,0.011735311200000003
2019-08-20,-0.004638862700000002
2019-08-21,0.006948646500000002
2019-08-22,-0.0005571496000000002
2019-08-23,-0.01883419140000001
2019-08-26,0.004143517500000003
2019-08-27,0.0013620013999999982
2019-08-28,0.005388086400000002
2019-08-29,0.010662339600000008
2019-08-30,0.0078686675
2019-09-03,-0.0036579665000000044
2019-09-04,0.004329999900000007
2019-09-05,0.010192712400000008
2019-09-06,0.0019358597000000003
2019-09-09,-0.0012880666
2019-09-10,0.00139783
2019-09-11,0.010912415800000004
2019-09-12,0.0011611309934980274
2019-09-16,0.0028302371407014524
2019-09-17,-0.0033658811189788726
2019-09-18,-0.0007916981395688263
2019-09-19,0.0024003824456912013
2019-09-20,0.0011455743061634487
2019-09-23,-0.0013505515512679004
2019-09-24,-0.004168474234068119
2019-09-25,0.0027565005878128976
2019-09-26,0.0003929698622544897
2019-09-27,-0.0029190153789740983
2019-09-30,0.004749038791313768
2019-10-08,-0.007776043260663954
2019-10-09,0.004104282262760433
2019-10-10,0.0031257919166165723
2019-10-11,0.011404065668257508
2019-10-14,0.0001455202744187578
2019-10-15,0.007655290407462751
2019-10-16,-0.0018569222663509613
2019-10-17,-0.0028650115628030583
2019-10-18,-0.00565095848769855
2019-10-21,0.005213339333985802
2019-10-22,-0.0005632974249886075
2019-10-23,0.0024146324234402463
2019-10-24,0.0042133274198385895
2019-10-25,0.00438740220923262
2019-10-28,0.0039859077411069825
2019-10-29,-0.001911243412508775
2019-10-30,0.001173900658847401
2019-10-31,-0.0042920268248325425
2019-11-01,0.007020059635204925
2019-11-04,0.0051941651033976105
2019-11-05,0.00609303449939985
2019-11-06,0.0005878729678948933
2019-11-07,0.005142389196858617
2019-11-08,0.0030772437999999997
2019-11-11,-0.0020228574000000017
2019-11-12,0.003720365299999999
2019-11-13,-0.0004552064999999996
2019-11-14,-0.0004698478999999987
2019-11-15,0.003195652600000002
2019-11-18,-0.0009786293999999984
2019-11-19,-7.204499999999112e-06
2019-11-20,-0.0029035754000000013
2019-11-21,-0.002971724600000001
2019-11-22,0.005347803500000001
2019-11-25,0.009315675900000002
2019-11-26,0.0017838808000000005
2019-11-27,0.004872605800000001
2019-11-29,-0.0056558211000000014
2019-12-02,-0.010731250000000001
2019-12-03,-0.006723191600000002
2019-12-04,0.004972305400000002
2019-12-05,0.0009381121000000013
2019-12-06,0.011683747199999999
2019-12-09,-0.0034248524999999992
2019-12-10,-0.003031935499999998
2019-12-11,0.0026541501999999997
2019-12-12,0.0031946974000000004
2019-12-13,0.003493190600000002
2019-12-16,0.0075523743
2019-12-17,-0.0019097636999999956
2019-12-18,0.0009292342999999988
2019-12-19,0.003944654199999999
2019-12-20,0.0068922037
2019-12-23,0.000193650299999999
2019-12-24,0.0004056718000000005
2019-12-27,-0.0007286862000000002
2019-12-30,-0.008313934700000001
2019-12-31,0.00020594190000000024
2020-01-02,0.009747057000000005
2020-01-03,-0.0021080463000000046
2020-01-06,-0.002125681799999998
2020-01-07,0.0038403531999999982
2020-01-08,0.0035603858000000034
2020-01-09,0.007289168200000005
2020-01-10,-0.001848088900000002
2020-01-13,0.002313926300000005
2020-01-14,0.0013928019999999994
2020-01-15,-0.0013130417999999988
2020-01-16,0.006579867500000005
2020-01-17,0.008015894599999997
2020-01-21,-0.0036552521
2020-01-22,0.0025156008999999984
2020-01-23,0.000803730000000001
2020-02-03,0.005655079900000001
2020-02-04,0.015647053100000002
2020-02-05,0.012220468800000002
2020-02-06,0.0074003353000000015
2020-02-07,-0.0032520439000000008
2020-02-10,0.006922655800000002
2020-02-11,0.0041789573
2020-02-12,0.007405018600000001
2020-02-13,0.002705844099999999
2020-02-14,0.0008782553000000003
2020-02-18,-0.003072747
2020-02-19,0.0069385207999999995
2020-02-20,-0.005754860799999999
2020-02-21,-0.01111194
2020-02-24,-0.029769212000000003
2020-02-25,-0.026848223900000003
2020-02-26,-0.0049100982
2020-02-27,-0.045597546700000005
2020-02-28,-0.0171113004
2020-03-02,0.018860485700000002
2020-03-03,-0.017503593300000002
2020-03-04,0.031729243500000004
2020-03-05,-0.0251554971
2020-03-06,-0.029997445
2020-03-09,-0.0788799611
2020-03-10,0.0335127105
2020-03-11,-0.0321707278
2020-03-12,-0.05810425572322149
2020-03-13,0.0366875438197804
2020-03-16,-0.07742312887781291
2020-03-17,0.030959555718480993
2020-03-18,-0.03447767961740292
2020-03-19,0.004003542637595649
2020-03-20,-0.011412097722278632
2020-03-23,-0.03174592947342858
2020-03-24,0.06078900982381491
2020-03-25,0.019868204030522762
2020-03-26,0.02018179842775703
2020-03-27,-0.018439011023131738
2020-03-30,0.016558827742010753
2020-03-31,-0.002735262147794898
2020-04-01,-0.0257014146574993
2020-04-02,0.016768428962934546
2020-04-03,-0.007598178632890499
2020-04-07,0.005011928049901495
2020-04-08,0.017424729743049663
2020-04-09,0.008005440385457174
2020-04-14,0.015926354997701654
2020-04-15,-0.015411008898124023
2020-04-16,0.006692630652941766
2020-04-17,0.02083013472672249
2020-04-20,-0.008362520657686076
2020-04-21,-0.026090229752708156
2020-04-22,0.0191603622086725
