strategy,avg_turnover,max_turnover,total_txn_cost_pct,avg_annual_txn_cost_pct,avg_max_weight,peak_max_weight
LSTM-MVO,0.849879147646018,2.0,1.954722039585841,0.5215209824388082,0.9489354443680194,1.0
Classical MVO,0.2743377150967762,2.0,0.6309767447225851,0.16834496421469994,0.910230304559261,1.0
