,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-01-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-01-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-01-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-02-13,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-02-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-03-13,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-03-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-04-10,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-04-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-05-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-05-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-06-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-06-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-07-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-07-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-08-14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-08-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-09-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-09-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-10-09,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-10-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-11-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-11-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-12-04,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-12-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-01-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-12,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-03-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-03-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-04-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-04-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-05-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-05-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
