,Annualised Return,Annualised Vol,Sharpe,Sortino,Max Drawdown
lstm_mvo,0.13053843985333557,0.16120945394197325,0.8419757792873652,1.0922003258502901,-0.1824669674739351
hist_mvo,0.08639350694363412,0.1872597270764161,0.536971535655861,0.6124631717774617,-0.33496621975006124
equal,0.08649104641908179,0.16031765317801752,0.5981378684682864,0.7067483767736186,-0.2687552363253196
