,0
2019-02-01,0.00044860773333333607
2019-02-11,0.005103690799999995
2019-02-12,0.009412187100000009
2019-02-13,0.0051337929999999985
2019-02-14,-0.0009255331000000023
2019-02-15,0.010233184500000004
2019-02-19,-0.0009005105999999963
2019-02-20,0.0025424088999999998
2019-02-21,-0.002387535600000003
2019-02-22,0.005186082600000004
2019-02-25,0.001814222
2019-02-26,-0.000776718700000001
2019-02-27,-0.001884162099999997
2019-02-28,-0.0031998104
2019-03-01,0.004908495699999999
2019-03-04,0.0031902192000000003
2019-03-05,-0.0001052991
2019-03-06,-0.005038038
2019-03-07,-0.0001439894
2019-03-08,-0.0054241546
2019-03-11,0.0121038985
2019-03-12,-0.0002229878
2019-03-13,0.0026717802
2019-03-14,0.0011245531
2019-03-15,0.0041035563
2019-03-18,0.0033269604
2019-03-19,0.0005200706000000001
2019-03-20,-0.0045242998
2019-03-21,0.006687859500000001
2019-03-22,-0.0080501681
2019-03-25,-0.0074210419000000005
2019-03-26,0.0115645919
2019-03-27,-0.0004999167
2019-03-28,0.0021050438000000003
2019-03-29,0.0069299723
2019-04-01,0.011942777100000013
2019-04-02,0.0027187889999999984
2019-04-03,0.002015201800000003
2019-04-04,0.0008654616000000029
2019-04-08,-0.0020524570999999967
2019-04-09,-0.005062592800000008
2019-04-10,0.004105746400000006
2019-04-11,-0.0020343683999999983
2019-04-12,0.0017536579000000114
2019-04-15,0.0016937649999999977
2019-04-16,0.0016422025999999997
2019-04-17,-0.0012873596000000046
2019-04-18,0.0047303483
2019-04-23,0.00977512770000001
2019-04-24,-0.0019177617000000024
2019-04-25,0.004018982099999996
2019-04-26,0.002220707200000008
2019-04-29,0.0006245177000000018
2019-04-30,-0.0013198958999999975
2019-05-06,-0.00542050650000006
2019-05-07,-0.013377431799999994
2019-05-08,-0.0030332693000000117
2019-05-09,-0.008099896000000016
2019-05-10,0.0023261338000000326
2019-05-13,-0.018051113400000013
2019-05-14,0.008708786499999994
2019-05-15,0.0059358979000000206
2019-05-16,0.010415641500000006
2019-05-17,-0.0023538985000000263
2019-05-20,-0.005686955100000004
2019-05-21,0.0045616669000000136
2019-05-22,-0.00013846980000000516
2019-05-23,-0.010610655100000014
2019-05-24,-0.0008645873999999998
2019-05-28,-0.0037880600999999937
2019-05-29,-0.006634587899999998
2019-05-30,0.002439621499999997
2019-05-31,-0.010908232000000002
2019-06-03,-0.005432485600000002
2019-06-04,0.012724061899999998
2019-06-05,0.006708672200000001
2019-06-06,0.002244747799999998
2019-06-10,0.005945425100000002
2019-06-11,0.002249984700000004
2019-06-12,-0.002883438300000001
2019-06-13,0.0053022702000000005
2019-06-14,0.0016350343999999985
2019-06-17,-0.0003443358999999997
2019-06-18,0.012836513300000001
2019-06-19,0.002508361300000002
2019-06-20,0.003400002500000004
2019-06-21,-0.005146335399999999
2019-06-24,-0.0057205908000000005
2019-06-25,-0.005745463000000002
2019-06-26,-0.0020704116000000005
2019-06-27,0.004814062900000001
2019-06-28,0.003762627799999999
2019-07-01,0.012117373400000006
2019-07-02,0.0055971485
2019-07-03,0.007970030799999998
2019-07-05,0.0007552346000000006
2019-07-08,-0.004230594800000007
2019-07-09,0.0003062738999999995
2019-07-10,-0.0005809964000000012
2019-07-11,0.0019520904000000002
2019-07-12,0.0032888542000000013
2019-07-15,-1.168239999999896e-05
2019-07-16,0.0005504869999999996
2019-07-17,-0.004568531900000001
2019-07-18,0.0005257190999999973
2019-07-19,-0.001454701599999998
2019-07-22,0.0012251100999999967
2019-07-23,0.011701996300000002
2019-07-24,0.004454720500000002
2019-07-25,-0.006079092699999999
2019-07-26,0.005953232000000001
2019-07-29,-0.0018913131000000002
2019-07-30,-0.004699014799999999
2019-07-31,-0.006566100300000002
2019-08-01,0.0009269435999999973
2019-08-02,-0.0144890907
2019-08-05,-0.031228232300000006
2019-08-06,0.005120123600000003
2019-08-07,2.4390900000000285e-05
2019-08-08,0.017118071900000004
2019-08-09,-0.004948097000000001
2019-08-12,-0.009506913900000002
2019-08-13,0.010183026800000002
2019-08-14,-0.018065830800000005
2019-08-15,0.0021579555000000006
