epoch,train_mse
1,0.008192374086984904
2,0.003042804028857315
3,0.002062625178864392
4,0.0016506820705046157
5,0.0013736376195389887
6,0.00118140766655307
7,0.001040972884292576
8,0.0009689814694649955
9,0.0008694413654035934
10,0.0008387267014408244
11,0.0007752482559172307
12,0.0007720529649286798
13,0.0007263638770742581
14,0.0007020490952896526
15,0.0006702455439567934
