,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-03-27,0.0,-1.6116009915467797e-19,1.25646380270601e-19
2019-03-28,0.0,1.4550610022423526e-19,-1.3509594692706047e-19
2019-03-29,0.0,2.339355167912948e-19,4.698449873828748e-19
2019-04-01,8.673617379884035e-18,-1.6149481185285773e-17,0.0
2019-04-02,2.168404344971009e-18,1.5358571957502196e-20,0.0
2019-04-03,1.734723475976807e-18,-3.397560739304803e-18,0.0
2019-04-04,6.505213034913027e-19,-2.5613608926549318e-18,0.0
2019-04-08,-1.734723475976807e-18,-1.4653636836079556e-18,0.0
2019-04-09,-4.336808689942018e-18,8.318830787355534e-18,0.0
2019-04-10,3.469446951953614e-18,-5.717749791529508e-18,0.0
2019-04-11,-1.734723475976807e-18,-3.1419631712834857e-19,0.0
2019-04-12,1.3010426069826053e-18,-9.308635613012853e-18,0.0
2019-04-15,1.3010426069826053e-18,9.38334680328959e-19,0.0
2019-04-16,1.3010426069826053e-18,-4.508476304710915e-19,0.0
2019-04-17,-1.0842021724855044e-18,3.997535668311087e-18,0.0
2019-04-18,3.469446951953614e-18,-2.096568332566592e-18,0.0
2019-04-23,6.938893903907228e-18,-1.271556331484664e-17,0.0
2019-04-24,-1.5178830414797062e-18,2.6855044427417178e-18,0.0
2019-04-25,3.469446951953614e-18,1.1909316287779114e-18,0.0
2019-04-26,1.734723475976807e-18,-6.924900751327102e-18,0.0
2019-04-29,4.336808689942018e-19,-1.5926690822300077e-18,0.0
2019-04-30,-1.0842021724855044e-18,-1.2870459638798428e-18,0.0
2019-05-06,0.0,0.0,-1.257763281122035e-18
2019-05-07,0.0,0.0,1.5440496960014376e-19
2019-05-08,0.0,0.0,-2.511564068165015e-19
2019-05-09,0.0,0.0,-3.339466812284738e-19
2019-05-10,0.0,0.0,6.980138940075053e-19
2019-05-13,0.0,0.0,-2.720146435330472e-19
2019-05-14,0.0,0.0,-1.5603280770807372e-19
2019-05-15,0.0,0.0,4.3050129520602306e-19
2019-05-16,0.0,0.0,1.308321319644724e-19
2019-05-17,0.0,0.0,-5.5966582670111025e-19
2019-05-20,0.0,0.0,-9.094241429339352e-20
2019-05-21,0.0,0.0,2.7745254732897144e-19
2019-05-22,0.0,0.0,-1.1054776953833174e-19
2019-05-23,0.0,0.0,-3.052485414114465e-19
2019-05-24,0.0,0.0,4.222131759756659e-21
2019-05-28,0.0,0.0,1.3693885462469783e-19
2019-05-29,0.0,0.0,3.694638408295569e-20
2019-05-30,0.0,0.0,-6.838640401509475e-20
2019-05-31,0.0,0.0,-5.505483145163792e-20
2019-06-03,0.0,0.0,-4.4014025681537664e-18
2019-06-04,0.0,0.0,-1.4421054339446042e-17
2019-06-05,0.0,0.0,-4.597745494410293e-19
2019-06-06,0.0,0.0,-1.761985333829511e-17
2019-06-10,0.0,0.0,1.2908093357764255e-17
2019-06-11,0.0,0.0,3.864420835197251e-17
2019-06-12,0.0,0.0,-8.364636751975145e-18
2019-06-13,0.0,0.0,6.834449862848864e-19
2019-06-14,0.0,0.0,-1.4835126887267878e-17
2019-06-17,0.0,0.0,2.9480627672815976e-18
2019-06-18,0.0,0.0,1.3224871123187353e-18
2019-06-19,0.0,0.0,1.43371145565338e-17
2019-06-20,0.0,0.0,3.564267165559957e-17
2019-06-21,0.0,0.0,7.407315627163689e-18
2019-06-24,0.0,0.0,3.0826705616392487e-18
2019-06-25,0.0,0.0,-1.3009115531350843e-17
2019-06-26,0.0,0.0,-2.897042255877784e-18
2019-06-27,0.0,0.0,1.0332300208685876e-17
