,STOXX1800,RUSSELL1000,SHANGHAI_A
2019-01-31,-0.030651379384694,0.031941236400780046,2.8859751254350085e-17
2019-02-28,0.0,6.040093856833096e-19,7.480546527350926e-19
2019-03-31,2.708138259889334e-17,-4.737477564940327e-17,0.0
2019-04-30,-0.0,-0.0,-1.6017276392949224e-18
2019-05-31,0.0,0.0,4.1429012090973514e-17
2019-06-30,-0.026359754386099582,0.015529882559153422,3.1954314842830843e-18
2019-07-31,0.007587600388880177,-0.007674603858229817,-0.009082464642334304
2019-08-31,-0.02925387588634882,0.018087020397008713,0.00033123000867474984
2019-09-30,-0.024238661428318077,0.03354631785602778,-2.6608375752790147e-18
2019-10-31,-0.04079920009277835,0.02441497410824639,-0.005219920290689464
2019-11-30,-0.011984015865934783,2.294447747481973e-18,0.05326988673449429
2019-12-31,-0.03484048931742596,-2.109179336834103e-17,-0.02998243253596834
2020-01-31,0.03300061711932638,1.5876775507558776e-17,-0.023129802005005997
2020-02-29,0.1281047108213127,1.3662854973881794e-16,-0.045094087878797984
2020-03-31,0.00023515214225438506,-5.148949885240166e-18,-0.00027262173388975026
2020-04-30,-0.03418032827493414,1.0648682616583132e-16,-0.0038130815490629777
2020-05-31,-0.0012175985256330972,-0.025148688018687977,0.03605427836527588
2020-06-30,-1.4783761001067248e-18,-0.04034477435673449,0.06001375139302047
2020-07-31,0.04803708603675822,-0.03758461378726303,-0.008991083117173768
2020-08-31,-0.014439269432075276,0.020827259788914327,0.014737883536856839
2020-09-30,-0.04826924021758383,0.03144532602538627,-0.0008039197379783808
2020-10-31,0.09882996720394943,-0.04337174540037165,-0.03137341632476724
2020-11-30,0.02000843010591268,-0.019209122706198508,-0.007573656823567653
2020-12-31,-0.0034103305907303635,0.003138933042197817,0.0030413708001164152
2021-01-31,0.010782107290724152,-0.010927855047726247,-0.003992916865680477
2021-02-28,0.06652593600806544,-0.0015202748907654764,0.018409714285776986
2021-03-31,0.013267179765699948,-0.029275770548098535,-0.000337858115168893
2021-04-30,-1.4030965058553611e-18,-0.010492383439194999,0.04472413325934131
2021-05-31,0.044593828080444764,-0.02317422787480039,-8.006413699276392e-18
2021-06-30,0.0035330261152918853,-0.020773768468838494,-0.04567671154106023
2021-07-31,0.027127596093168203,-0.028942332580209156,0.004068954818616205
2021-08-31,-0.0,0.02896220216742107,-0.004360070155004614
2021-09-30,-0.04103979310634575,0.0,-0.005816230152668855
2021-10-31,-4.953425917006218e-18,0.0134144993316747,0.00708998791456561
2021-11-30,-0.03357371925146624,0.0,0.028316239698160425
2021-12-31,-5.190476687151244e-17,1.1231059868958293e-16,-0.0
2022-01-31,0.005644019393400201,-0.006130254603737992,0.02246989055799092
2022-02-28,-0.03658833518315063,0.033745286733081414,1.0443609008679097e-16
2022-03-31,0.037877397970085935,-2.7619546329860976e-17,-0.05431833204123915
2022-04-30,0.035071441019110944,1.7958515646167032e-17,0.039390803463625446
2022-05-31,2.165540779275691e-17,-0.0,8.002091255473245e-17
2022-06-30,-8.234108464309576e-17,1.2667196661902296e-16,3.593945617997078e-17
2022-07-31,-6.053078953955804e-18,2.20823726053339e-17,-0.0
2022-08-31,0.07981630070377993,-0.10210812241905774,-0.0
2022-09-30,0.003388259021526821,8.806457855394149e-17,0.0033822445973852857
2022-10-31,7.832859787295877e-17,-1.0436154234117784e-17,-2.5481308231413424e-17
